,Company,Cost,Period
0,Digi,1200.0,12
1,Profit,1200.0,12
2,Primus,1000.0,12
3,Best,1800.0,12
4,Mikro,1250.0,12
0,Digi,1000.0,10
1,Profit,550.0,10
2,Primus,1000.0,10
3,Best,1000.0,10
4,Mikro,400.0,10
0,Digi,1200.0,11
1,Profit,1200.0,11
2,Primus,1000.0,11
3,Best,900.0,11
4,Mikro,500.0,11
0,Digi,500.0,8
1,Profit,150.0,8
2,Primus,400.0,8
3,Best,1200.0,8
4,Mikro,300.0,8
0,Digi,300.0,9
1,Profit,400.0,9
2,Primus,1000.0,9
3,Best,1000.0,9
4,Mikro,300.0,9
