,Segment,Size,Rate,Period
0,Small income young families,,9605.0,23
1,Small income middle-aged families,,17956.0,23
2,Small income elderly families,,14395.0,23
3,Average income young families,,6416.0,23
4,Average income middle-aged families,,8884.0,23
5,Average income elderly families,,5079.0,23
6,Large income families,,177.0,23
7,Total,,62512.0,23
