,Segment,Size,Rate,Period
0,Small income young families,,2465.0,13
1,Small income middle-aged families,,3830.0,13
2,Small income elderly families,,0.0,13
3,Average income young families,,7207.0,13
4,Average income middle-aged families,,15349.0,13
5,Average income elderly families,,4286.0,13
6,Large income families,,12613.0,13
7,Total,,45750.0,13
