,Company,1,2,3,4,5,6,sum,Period
0,Digi,600.0,600.0,0.0,0.0,0.0,0.0,1200.0,13
1,Profit,329.0,658.0,329.0,0.0,0.0,0.0,1316.0,13
2,Primus,400.0,600.0,300.0,0.0,0.0,0.0,1300.0,13
3,Best,600.0,600.0,500.0,0.0,0.0,0.0,1700.0,13
4,Mikro,400.0,700.0,0.0,0.0,0.0,0.0,1100.0,13
