,Segment,Size,Rate,Period
0,Small income young families,,11234.0,23
1,Small income middle-aged families,,20224.0,23
2,Small income elderly families,,16010.0,23
3,Average income young families,,8943.0,23
4,Average income middle-aged families,,13026.0,23
5,Average income elderly families,,6293.0,23
6,Large income families,,4703.0,23
7,Total,,80433.0,23
