Model,Price,Period
Digi1,1,20
Digi2,3300,20
Digi3,2 650,20
Digi4,2 150,20
Profit1,1,20
Profit2,2180,20
Profit3,2499,20
Profit4,1 899,20
Best1,1,20
Best2,2179,20
Best3,2 899,20
Best4,2799,20
Best5,2 449,20
Best6,1 899,20
Mikro1,1600,20
Mikro2,3400,20
Mikro3,1900,20
