Model,Price,Period
Digi1,1,16
Digi2,3400,16
Digi3,2200,16
Profit1,1199,16
Profit2,2274,16
Profit3,3399,16
Best1,1750,16
Best2,2187,16
Best3,2982,16
Best4,2799,16
Mikro1,1650,16
Mikro2,3450,16
