,Segment,Size,Rate,Period
0,Small income young families,,11330.0,21
1,Small income middle-aged families,,20572.0,21
2,Small income elderly families,,16461.0,21
3,Average income young families,,9073.0,21
4,Average income middle-aged families,,14175.0,21
5,Average income elderly families,,6482.0,21
6,Large income families,,3577.0,21
7,Total,,81670.0,21
