,Segment,Size,Rate,Period
0,Small income young families,,7297.0,19
1,Small income middle-aged families,,13385.0,19
2,Small income elderly families,,7147.0,19
3,Average income young families,,7998.0,19
4,Average income middle-aged families,,14236.0,19
5,Average income elderly families,,5617.0,19
6,Large income families,,2785.0,19
7,Total,,58465.0,19
