Model,Price,Period
Digi1,1850,14
Digi2,3500,14
Digi3,2 350,14
Profit1,1850,14
Profit2,2 399,14
Profit3,3538,14
Best1,1 800,14
Best2,2 268,14
Best3,3150,14
Mikro1,1950,14
Mikro2,3750,14
