,Segment,Size,Rate,Period
0,Small income young families,,7982.0,22
1,Small income middle-aged families,,14545.0,22
2,Small income elderly families,,10101.0,22
3,Average income young families,,5744.0,22
4,Average income middle-aged families,,8822.0,22
5,Average income elderly families,,4087.0,22
6,Large income families,,1793.0,22
7,Total,,53072.0,22
