,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
0,Digi1,Digi,3.0,2.0,4.0,2.0,2.0,3.0,2.0,15
1,Digi2,Digi,4.0,1.0,0.0,6.0,2.0,1.0,8.0,15
2,Digi3,Digi,2.0,1.0,1.0,2.0,1.0,1.0,1.0,15
3,Profit1,Profit,2.0,4.0,7.0,2.0,3.0,6.0,2.0,15
4,Profit2,Profit,19.0,20.0,19.0,17.0,19.0,20.0,14.0,15
5,Profit3,Profit,1.0,0.0,0.0,2.0,0.0,0.0,2.0,15
6,Primus1,Primus,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15
7,Primus2,Primus,25.0,34.0,31.0,23.0,33.0,33.0,19.0,15
8,Primus3,Primus,5.0,2.0,0.0,7.0,3.0,1.0,8.0,15
9,Primus4,Primus,1.0,3.0,5.0,1.0,2.0,3.0,1.0,15
10,Best1,Best,2.0,2.0,3.0,2.0,2.0,3.0,2.0,15
11,Best2,Best,16.0,20.0,20.0,13.0,18.0,19.0,10.0,15
12,Best3,Best,8.0,4.0,1.0,10.0,5.0,2.0,11.0,15
13,Best4,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
14,Mikro1,Mikro,2.0,3.0,6.0,1.0,2.0,4.0,1.0,15
15,Mikro2,Mikro,9.0,3.0,1.0,13.0,5.0,2.0,17.0,15
