,Segment,Size,Rate,Period
0,Small income young families,,11143.0,20
1,Small income middle-aged families,,20525.0,20
2,Small income elderly families,,15115.0,20
3,Average income young families,,11288.0,20
4,Average income middle-aged families,,18420.0,20
5,Average income elderly families,,8191.0,20
6,Large income families,,4125.0,20
7,Total,,88807.0,20
