,Company,1,2,3,4,5,6,sum,Period
0,Digi,0,0,3,5,0,0,8,23
1,Profit,0,0,1,15,2,0,18,23
2,Primus,0,2,1,16,7,0,28,23
3,Best,0,2,1,3,7,13,25,23
4,Mikro,0,2,9,0,0,0,12,23
