Period,Company,Model,Marketing End,Rate of coverage of model,Durability,Design,Connectivity,Maintenance,Accessories,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Marketing_share,Marketing_retail,Price
15,Mikro,4,0,0.0,,,,,,,,,,,,,0,0.0,
13,Digi,4,0,0.0,,,,,,,,,,,,,0,0.0,
13,Profit,4,0,0.0,,,,,,,,,,,,,0,0.0,
13,Primus,4,0,0.0,,,,,,,,,,,,,0,0.0,
13,Best,4,0,0.0,,,,,,,,,,,,,0,0.0,
13,Mikro,4,0,0.0,,,,,,,,,,,,,0,0.0,
14,Digi,4,0,0.0,,,,,,,,,,,,,0,0.0,
14,Profit,4,0,0.0,,,,,,,,,,,,,0,0.0,
14,Primus,4,0,0.0,,,,,,,,,,,,,0,0.0,
14,Best,4,0,0.0,,,,,,,,,,,,,0,0.0,
14,Mikro,4,0,0.0,,,,,,,,,,,,,0,0.0,
18,Digi,4,0,0.0,,,,,,,,,,,,,0,0.0,
18,Profit,4,700,50.0,10.0,10.0,20.0,10.0,10.0,2.0,6.0,10.0,2.0,4.0,7.0,1.0,5,700.0,1799
18,Primus,4,900,66.0,10.0,10.0,20.0,10.0,10.0,7.0,13.0,16.0,6.0,10.0,14.0,4.0,10,600.0,
18,Best,4,800,59.0,30.0,10.0,30.0,20.0,10.0,7.0,6.0,3.0,7.0,7.0,4.0,6.0,5,800.0,2699
18,Mikro,4,0,0.0,,,,,,,,,,,,,0,0.0,
17,Digi,4,0,0.0,,,,,,,,,,,,,0,0.0,
17,Profit,4,600,35.0,10.0,10.0,20.0,10.0,10.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1,600.0,1959
17,Primus,4,900,64.0,10.0,10.0,20.0,10.0,10.0,4.0,8.0,11.0,3.0,6.0,9.0,2.0,6,900.0,
17,Best,4,700,51.0,30.0,10.0,30.0,20.0,10.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,2,700.0,2 877
17,Mikro,4,0,0.0,,,,,,,,,,,,,0,0.0,
16,Digi,4,0,0.0,,,,,,,,,,,,,0,0.0,
16,Profit,4,0,0.0,,,,,,,,,,,,,0,0.0,
16,Primus,4,400,63.0,10.0,10.0,20.0,10.0,10.0,2.0,3.0,5.0,1.0,3.0,4.0,1.0,2,700.0,
16,Best,4,500,25.0,30.0,10.0,30.0,20.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,300.0,2799
16,Mikro,4,0,0.0,,,,,,,,,,,,,0,0.0,
15,Digi,5,0,0.0,,,,,,,,,,,,,0,0.0,
15,Profit,5,0,0.0,,,,,,,,,,,,,0,0.0,
15,Primus,5,0,0.0,,,,,,,,,,,,,0,0.0,
15,Best,5,0,0.0,,,,,,,,,,,,,0,0.0,
15,Mikro,5,0,0.0,,,,,,,,,,,,,0,0.0,
13,Digi,5,0,0.0,,,,,,,,,,,,,0,0.0,
13,Profit,5,0,0.0,,,,,,,,,,,,,0,0.0,
13,Primus,5,0,0.0,,,,,,,,,,,,,0,0.0,
13,Best,5,0,0.0,,,,,,,,,,,,,0,0.0,
13,Mikro,5,0,0.0,,,,,,,,,,,,,0,0.0,
14,Digi,5,0,0.0,,,,,,,,,,,,,0,0.0,
14,Profit,5,0,0.0,,,,,,,,,,,,,0,0.0,
14,Primus,5,0,0.0,,,,,,,,,,,,,0,0.0,
14,Best,5,0,0.0,,,,,,,,,,,,,0,0.0,
14,Mikro,5,0,0.0,,,,,,,,,,,,,0,0.0,
18,Digi,5,0,0.0,,,,,,,,,,,,,0,0.0,
