,Segment,Size,Rate,Period
0,Small income young families,,10330.0,21
1,Small income middle-aged families,,19241.0,21
2,Small income elderly families,,15493.0,21
3,Average income young families,,7496.0,21
4,Average income middle-aged families,,11648.0,21
5,Average income elderly families,,5765.0,21
6,Large income families,,557.0,21
7,Total,,70530.0,21
