,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
0,Digi1,Digi,5.0,4.0,5.0,4.0,4.0,5.0,4.0,14
1,Digi2,Digi,5.0,1.0,0.0,7.0,3.0,1.0,9.0,14
2,Digi3,Digi,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14
3,Profit1,Profit,5.0,6.0,9.0,4.0,6.0,9.0,5.0,14
4,Profit2,Profit,16.0,13.0,9.0,15.0,15.0,12.0,14.0,14
5,Profit3,Profit,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14
6,Primus1,Primus,8.0,16.0,31.0,7.0,11.0,22.0,7.0,14
7,Primus2,Primus,26.0,31.0,23.0,24.0,31.0,26.0,19.0,14
8,Primus3,Primus,4.0,1.0,0.0,6.0,3.0,1.0,6.0,14
9,Best1,Best,4.0,5.0,6.0,4.0,4.0,6.0,5.0,14
10,Best2,Best,15.0,16.0,13.0,13.0,16.0,14.0,11.0,14
11,Best3,Best,6.0,2.0,1.0,8.0,4.0,1.0,9.0,14
12,Mikro1,Mikro,2.0,2.0,3.0,1.0,2.0,2.0,1.0,14
13,Mikro2,Mikro,4.0,1.0,0.0,6.0,2.0,0.0,9.0,14
