Model,Price,Period
Digi1,1,18
Digi2,3290,18
Digi3,2 350,18
Profit1,1,18
Profit2,2180,18
Profit3,2699,18
Profit4,1799,18
Best1,2000,18
Best2,2025,18
Best3,2993,18
Best4,2699,18
Best5,2449,18
Mikro1,1600,18
Mikro2,3450,18
Mikro3,1950,18
