Model,Price,Period
Digi1,1,23
Digi2,2 900,23
Digi3,2900,23
Digi4,1900,23
Profit1,1,23
Profit2,2180,23
Profit3,2499,23
Profit4,1897,23
Profit5,2 299,23
Best1,1,23
Best2,1999,23
Best3,2 699,23
Best4,2 849,23
Best5,2 449,23
Best6,1899,23
Mikro1,1 600,23
Mikro2,3400,23
Mikro3,1 850,23
