,Company,1,2,3,4,5,6,sum,Period
0,Digi,500.0,800.0,800.0,0.0,0.0,0.0,2100.0,15
1,Profit,329.0,800.0,400.0,0.0,0.0,0.0,1529.0,15
2,Primus,50.0,800.0,600.0,1200.0,0.0,0.0,2650.0,15
3,Best,100.0,800.0,600.0,200.0,0.0,0.0,1700.0,15
4,Mikro,200.0,800.0,0.0,0.0,0.0,0.0,1000.0,15
