Model,Price,Period
Digi1,1,21
Digi2,2 900,21
Digi3,2 600,21
Digi4,2100,21
Profit1,1,21
Profit2,2180,21
Profit3,2499,21
Profit4,1899,21
Profit5,2 299,21
Best1,1,21
Best2,2 159,21
Best3,2919,21
Best4,2 699,21
Best5,2 449,21
Best6,1879,21
Mikro1,1 500,21
Mikro2,3400,21
Mikro3,1895,21
