Model,Price,Period
Digi1,1999,13
Digi2,3600,13
Profit1,1704,13
Profit2,2294,13
Profit3,3757,13
Best1,2016,13
Best2,2 300,13
Best3,3255,13
Mikro1,2000,13
Mikro2,4 000,13
