,Segment,Size,Period
0,Small income young families,260065.0,22
1,Small income middle-aged families,440617.0,22
2,Small income elderly families,484152.0,22
3,Average income young families,206325.0,22
4,Average income middle-aged families,342562.0,22
5,Average income elderly families,130027.0,22
6,Large income families,238140.0,22
7,Total,2101888.0,22
