Model,Price,Period
Digi1,1,19
Digi2,3250,19
Digi3,2350,19
Digi4,2150,19
Profit1,1,19
Profit2,2210,19
Profit3,2 599,19
Profit4,1 986,19
Best1,1,19
Best2,2229,19
Best3,2999,19
Best4,2779,19
Best5,2579,19
Best6,1979,19
Mikro1,1650,19
Mikro2,3450,19
Mikro3,1950,19
