,Segment,Size,Rate,Period
0,Small income young families,,6965.0,19
1,Small income middle-aged families,,12965.0,19
2,Small income elderly families,,6829.0,19
3,Average income young families,,7476.0,19
4,Average income middle-aged families,,13428.0,19
5,Average income elderly families,,5397.0,19
6,Large income families,,1715.0,19
7,Total,,54775.0,19
