,Segment,Size,Period
0,Small income young families,260215.0,16
1,Small income middle-aged families,433705.0,16
2,Small income elderly families,476010.0,16
3,Average income young families,204255.0,16
4,Average income middle-aged families,334930.0,16
5,Average income elderly families,126625.0,16
6,Large income families,231960.0,16
7,Total,2067700.0,16
