,Company,1,2,3,4,5,6,sum,Period
0,Digi,0,1,7,1,0,0,9,21
1,Profit,0,2,3,16,0,0,21,21
2,Primus,0,7,3,16,3,0,28,21
3,Best,0,4,2,7,6,4,23,21
4,Mikro,0,4,9,0,0,0,13,21
