,Segment,Size,Rate,Period
0,Small income young families,,11006.0,18
1,Small income middle-aged families,,20014.0,18
2,Small income elderly families,,14314.0,18
3,Average income young families,,12164.0,18
4,Average income middle-aged families,,21725.0,18
5,Average income elderly families,,8622.0,18
6,Large income families,,5644.0,18
7,Total,,93489.0,18
