Company,Cost,Period
Digi,1200.0,12
Profit,1200.0,12
Primus,1000.0,12
Best,1800.0,12
Mikro,1250.0,12
Digi,1000.0,10
Profit,550.0,10
Primus,1000.0,10
Best,1000.0,10
Mikro,400.0,10
Digi,1200.0,11
Profit,1200.0,11
Primus,1000.0,11
Best,900.0,11
Mikro,500.0,11
Digi,500.0,8
Profit,150.0,8
Primus,400.0,8
Best,1200.0,8
Mikro,300.0,8
Digi,300.0,9
Profit,400.0,9
Primus,1000.0,9
Best,1000.0,9
Mikro,300.0,9
