,Segment,Size,Rate,Period
0,Small income young families,,10226.0,20
1,Small income middle-aged families,,19344.0,20
2,Small income elderly families,,14243.0,20
3,Average income young families,,9827.0,20
4,Average income middle-aged families,,16124.0,20
5,Average income elderly families,,7553.0,20
6,Large income families,,1241.0,20
7,Total,,78558.0,20
