,Company,1,2,3,4,5,6,sum,Period
0,Digi,0,2,11,0,0,0,13,19
1,Profit,0,8,4,7,0,0,19,19
2,Primus,0,13,3,14,1,0,31,19
3,Best,0,10,3,6,1,0,21,19
4,Mikro,0,6,4,0,0,0,11,19
