Model,Price,Period
Digi1,1,17
Digi2,3300,17
Digi3,2 250,17
Profit1,1,17
Profit2,2180,17
Profit3,2 899,17
Profit4,1959,17
Best1,1750,17
Best2,2 268,17
Best3,3150,17
Best4,2 877,17
Best5,2 598,17
Mikro1,1 600,17
Mikro2,3450,17
Mikro3,1950,17
