,Segment,Size,Rate,Period
0,Small income young families,,7419.0,15
1,Small income middle-aged families,,13071.0,15
2,Small income elderly families,,8734.0,15
3,Average income young families,,10312.0,15
4,Average income middle-aged families,,20177.0,15
5,Average income elderly families,,7011.0,15
6,Large income families,,9216.0,15
7,Total,,75940.0,15
