Model,Price,Period
Digi1,1,22
Digi2,2 900,22
Digi3,2 500,22
Digi4,1900,22
Profit1,1,22
Profit2,2180,22
Profit3,2499,22
Profit4,1899,22
Profit5,2239,22
Best1,1,22
Best2,1999,22
Best3,2 699,22
Best4,2 699,22
Best5,2 449,22
Best6,1899,22
Mikro1,1 500,22
Mikro2,3400,22
Mikro3,1895,22
