,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
0,Digi1,Digi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
1,Digi2,Digi,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22
2,Digi3,Digi,11.0,5.0,2.0,14.0,7.0,5.0,15.0,22
3,Digi4,Digi,5.0,5.0,6.0,4.0,4.0,5.0,3.0,22
4,Profit1,Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
5,Profit2,Profit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22
6,Profit3,Profit,3.0,1.0,1.0,4.0,2.0,1.0,5.0,22
7,Profit4,Profit,12.0,20.0,24.0,10.0,17.0,22.0,8.0,22
8,Profit5,Profit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22
9,Primus1,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
10,Primus2,Primus,5.0,5.0,3.0,4.0,5.0,4.0,4.0,22
11,Primus3,Primus,3.0,1.0,0.0,4.0,2.0,1.0,6.0,22
12,Primus4,Primus,12.0,19.0,23.0,11.0,17.0,21.0,8.0,22
13,Primus5,Primus,6.0,6.0,4.0,7.0,7.0,5.0,6.0,22
14,Primus6,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
15,Best1,Best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
16,Best2,Best,3.0,3.0,3.0,2.0,3.0,4.0,2.0,22
17,Best3,Best,2.0,1.0,0.0,2.0,1.0,1.0,3.0,22
18,Best4,Best,7.0,5.0,2.0,7.0,6.0,3.0,8.0,22
19,Best5,Best,8.0,6.0,4.0,9.0,7.0,5.0,9.0,22
20,Best6,Best,6.0,9.0,12.0,4.0,7.0,9.0,3.0,22
21,Mikro1,Mikro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
22,Mikro2,Mikro,6.0,1.0,0.0,8.0,3.0,1.0,12.0,22
23,Mikro3,Mikro,7.0,10.0,13.0,6.0,9.0,11.0,5.0,22
