,Company,1,2,3,4,5,6,sum,Period
0,Digi,0.0,600.0,800.0,400.0,0.0,0.0,1800.0,19
1,Profit,0.0,400.0,500.0,700.0,0.0,0.0,1600.0,19
2,Primus,0.0,600.0,600.0,600.0,200.0,0.0,2000.0,19
3,Best,0.0,400.0,400.0,400.0,200.0,100.0,1500.0,19
4,Mikro,100.0,900.0,900.0,0.0,0.0,0.0,1900.0,19
