,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
0,Digi1,Digi,0,0,0,0,0,0,0,19
1,Digi2,Digi,3,1,0,4,2,1,5,19
2,Digi3,Digi,13,11,9,13,11,11,12,19
3,Digi4,Digi,0,0,0,0,0,0,0,19
4,Profit1,Profit,0,0,0,0,0,0,0,19
5,Profit2,Profit,8,10,10,6,9,10,6,19
6,Profit3,Profit,6,3,2,7,4,3,7,19
7,Profit4,Profit,4,9,13,3,7,10,2,19
8,Primus1,Primus,0,0,0,0,0,0,0,19
9,Primus2,Primus,12,15,13,11,16,15,10,19
10,Primus3,Primus,6,2,1,7,3,1,9,19
11,Primus4,Primus,10,17,22,8,14,18,6,19
12,Primus5,Primus,1,1,1,0,1,1,0,19
13,Best1,Best,0,0,0,0,0,0,0,19
14,Best2,Best,8,12,13,7,10,12,5,19
15,Best3,Best,5,2,1,6,4,2,7,19
16,Best4,Best,7,6,3,7,7,5,7,19
17,Best5,Best,2,2,1,2,2,1,2,19
18,Best6,Best,0,0,0,0,0,0,0,19
19,Mikro1,Mikro,0,0,1,0,0,1,0,19
20,Mikro2,Mikro,11,3,1,15,6,2,19,19
21,Mikro3,Mikro,3,5,8,2,4,6,2,19
