Model,Price,Period
Digi1,1950,15
Digi2,3600,15
Digi3,2 350,15
Profit1,1775,15
Profit2,2283,15
Profit3,3399,15
Best1,1750,15
Best2,2 249,15
Best3,3150,15
Best4,2940,15
Mikro1,1750,15
Mikro2,3500,15
