,Company,1,2,3,4,5,6,sum,Period
0,Digi,0.0,700.0,1200.0,550.0,0.0,0.0,2450.0,20
1,Profit,0.0,40.0,500.0,700.0,0.0,0.0,1600.0,20
2,Primus,0.0,800.0,500.0,800.0,300.0,0.0,2400.0,20
3,Best,0.0,400.0,500.0,500.0,400.0,300.0,2100.0,20
4,Mikro,100.0,800.0,900.0,0.0,0.0,0.0,1800.0,20
