,Model,Company,Small income young families,Small income middle-aged families,Small income elderly families,Average income young families,Average income middle-aged families,Average income elderly families,Large income families,Period
0,Digi1,Digi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
1,Digi2,Digi,5.0,2.0,1.0,7.0,3.0,1.0,9.0,16
2,Digi3,Digi,5.0,5.0,5.0,5.0,5.0,5.0,3.0,16
3,Profit1,Profit,1.0,2.0,3.0,1.0,1.0,3.0,1.0,16
4,Profit2,Profit,18.0,20.0,20.0,15.0,19.0,20.0,13.0,16
5,Profit3,Profit,2.0,0.0,0.0,3.0,1.0,0.0,4.0,16
6,Primus1,Primus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
7,Primus2,Primus,26.0,35.0,34.0,23.0,34.0,35.0,19.0,16
8,Primus3,Primus,3.0,1.0,0.0,5.0,2.0,1.0,6.0,16
9,Primus4,Primus,2.0,3.0,5.0,1.0,3.0,4.0,1.0,16
10,Best1,Best,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16
11,Best2,Best,14.0,20.0,23.0,11.0,18.0,20.0,9.0,16
12,Best3,Best,9.0,5.0,2.0,11.0,7.0,3.0,12.0,16
13,Best4,Best,1.0,1.0,0.0,1.0,1.0,1.0,1.0,16
14,Mikro1,Mikro,1.0,2.0,4.0,1.0,1.0,3.0,0.0,16
15,Mikro2,Mikro,11.0,3.0,1.0,15.0,6.0,2.0,20.0,16
