,Company,1,2,3,4,5,6,sum,Period
0,Digi,0,0,7,5,0,0,12,22
1,Profit,0,1,2,17,1,0,21,22
2,Primus,0,4,2,16,5,0,28,22
3,Best,0,3,1,5,6,8,23,22
4,Mikro,0,3,9,0,0,0,12,22
