,Segment,Size,Rate,Period
0,Small income young families,,7444.0,22
1,Small income middle-aged families,,13812.0,22
2,Small income elderly families,,9577.0,22
3,Average income young families,,4901.0,22
4,Average income middle-aged families,,7453.0,22
5,Average income elderly families,,3695.0,22
6,Large income families,,240.0,22
7,Total,,47122.0,22
